id,work_province,work_dedication,salary_monthly_BRUTO,salary_monthly_NETO,profile_studies_level,profile_age,profile_gender,lenguaje_programacion,profile_years_experience
484,Ciudad Autónoma de Buenos Aires,Full-Time,536000,380000,Terciario,42,Varón Cis,ninguno de los anteriores,16
485,Ciudad Autónoma de Buenos Aires,Full-Time,26000,215800,NA,31,Varón Cis,java,4
485,Ciudad Autónoma de Buenos Aires,Full-Time,26000,215800,NA,31,Varón Cis,sql,4
486,Ciudad Autónoma de Buenos Aires,Full-Time,700000,460000,Posgrado/Especialización,27,Varón Cis,python,2
486,Ciudad Autónoma de Buenos Aires,Full-Time,700000,460000,Posgrado/Especialización,27,Varón Cis,sql,2
487,Ciudad Autónoma de Buenos Aires,Full-Time,341866,237681,NA,33,Varón Cis,ninguno de los anteriores,12
488,Ciudad Autónoma de Buenos Aires,Full-Time,800000,800000,NA,28,Varón Cis,css,8
488,Ciudad Autónoma de Buenos Aires,Full-Time,800000,800000,NA,28,Varón Cis,html,8
488,Ciudad Autónoma de Buenos Aires,Full-Time,800000,800000,NA,28,Varón Cis,javascript,8
488,Ciudad Autónoma de Buenos Aires,Full-Time,800000,800000,NA,28,Varón Cis,sql,8
489,Ciudad Autónoma de Buenos Aires,Full-Time,1846000,1846000,Universitario,33,Varón Cis,bash/shell,15
489,Ciudad Autónoma de Buenos Aires,Full-Time,1846000,1846000,Universitario,33,Varón Cis,javascript,15
489,Ciudad Autónoma de Buenos Aires,Full-Time,1846000,1846000,Universitario,33,Varón Cis,python,15
489,Ciudad Autónoma de Buenos Aires,Full-Time,1846000,1846000,Universitario,33,Varón Cis,sql,15
489,Ciudad Autónoma de Buenos Aires,Full-Time,1846000,1846000,Universitario,33,Varón Cis,typescript,15
490,Ciudad Autónoma de Buenos Aires,Full-Time,730000,380000,NA,31,Varón Cis,css,10
490,Ciudad Autónoma de Buenos Aires,Full-Time,730000,380000,NA,31,Varón Cis,html,10
490,Ciudad Autónoma de Buenos Aires,Full-Time,730000,380000,NA,31,Varón Cis,javascript,10
490,Ciudad Autónoma de Buenos Aires,Full-Time,730000,380000,NA,31,Varón Cis,sql,10
490,Ciudad Autónoma de Buenos Aires,Full-Time,730000,380000,NA,31,Varón Cis,typescript,10
491,Ciudad Autónoma de Buenos Aires,Full-Time,850000,0,Universitario,36,Varón Cis,css,8
491,Ciudad Autónoma de Buenos Aires,Full-Time,850000,0,Universitario,36,Varón Cis,html,8
491,Ciudad Autónoma de Buenos Aires,Full-Time,850000,0,Universitario,36,Varón Cis,javascript,8
491,Ciudad Autónoma de Buenos Aires,Full-Time,850000,0,Universitario,36,Varón Cis,sql,8
491,Ciudad Autónoma de Buenos Aires,Full-Time,850000,0,Universitario,36,Varón Cis,typescript,8
492,Ciudad Autónoma de Buenos Aires,Full-Time,121000,108000,Terciario,30,Varón Cis,ninguno de los anteriores,7
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,bash/shell,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,css,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,html,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,java,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,javascript,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,perl,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,php,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,python,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,sql,15
493,Ciudad Autónoma de Buenos Aires,Full-Time,260000,0,NA,45,Varón Cis,typescript,15
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,bash/shell,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,css,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,html,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,javascript,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,php,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,python,5
494,Ciudad Autónoma de Buenos Aires,Full-Time,224000,125000,Universitario,24,Varón Cis,sql,5
495,Ciudad Autónoma de Buenos Aires,Full-Time,426000,400000,Universitario,37,Varón Cis,php,15
496,Ciudad Autónoma de Buenos Aires,Part-Time,60000,50000,Terciario,51,Varón Cis,pinescript,3
